time	a	b
62	5639	5833
100	5639	5833
193	6209	6464
34	6209	6464
53	6830	7079
173	6830	7079
195	7464	7714
29	7464	7714
13	8104	8354
183	8104	8354
61	8748	8997
178	8748	8997
99	9370	9620
80	9370	9620
214	10030	10280
23	10030	10280
90	10648	10897
69	10648	10897
18	11256	11505
87	11256	11505
71	11871	12121
31	11871	12121
115	12501	12750
104	12501	12750
88	13156	13405
116	13156	13405
110	13777	14026
133	13777	14026
89	14387	14644
27	14387	14644
0	15029	15278
204	15029	15278
108	15678	15927
56	15678	15927
131	16288	16538
55	16288	16538
56	16894	17144
128	16894	17144
95	17526	17775
95	17526	17775
36	18147	18397
194	18147	18397
36	18781	19031
165	18781	19031
164	284	539
49	284	539
160	898	1147
51	898	1147
195	1539	1789
20	1539	1789
195	2152	2401
23	2152	2401
122	2763	3013
96	2763	3013
39	3382	3632
179	3382	3632
93	3993	4243
119	3993	4243
188	4603	4852
35	4603	4852
224	5228	5478
11	5228	5478
189	5854	6104
32	5854	6104
90	6466	6716
100	6466	6716
60	7289	7539
168	7289	7539
66	7905	8154
143	7905	8154
31	8582	8831
51	8582	8831
108	9187	9442
32	9187	9442
49	9838	10087
32	9838	10087
147	10474	10724
77	10474	10724
83	11079	11328
72	11079	11328
50	11690	11940
160	11690	11940
29	12297	12553
188	12297	12553
29	12926	13177
185	12926	13177
10	13542	13658
97	13542	13658
39	14152	14408
178	14152	14408
191	14768	15018
38	14768	15018
97	15530	15780
40	15530	15780
116	16137	16386
36	16137	16386
0	16770	17020
179	16770	17020
41	17386	17636
86	17386	17636
25	18018	18269
194	18018	18269
0	18645	18895
195	18645	18895
70	299	548
111	299	548
147	922	1170
69	922	1170
119	1537	1787
94	1537	1787
216	2176	2425
13	2176	2425
95	2804	3054
104	2804	3054
39	3423	3672
165	3423	3672
112	4052	4301
116	4052	4301
81	4667	4917
144	4667	4917
11	5246	5503
167	5246	5503
74	5872	6121
150	5872	6121
16	6478	6728
210	6478	6728
197	7095	7352
41	7095	7352
176	7671	7928
