time	a	b
153	2889	3139
129	3554	3806
129	3554	3806
180	4246	4496
180	4246	4496
144	4857	5105
144	4857	5105
174	5478	5672
174	5478	5672
226	6075	6323
226	6075	6323
117	6702	6953
117	6702	6953
97	7330	7584
97	7330	7584
100	7951	8200
100	7951	8200
149	8569	8820
149	8569	8820
73	9227	9476
73	9227	9476
39	9860	10110
39	9860	10110
0	10628	10879
0	10628	10879
0	12531	12779
0	12531	12779
101	13692	13943
101	13692	13943
84	14343	14592
84	14343	14592
83	15104	15353
83	15104	15353
107	15719	15969
107	15719	15969
161	16493	16778
161	16493	16778
55	17397	17653
55	17397	17653
100	18057	18306
100	18057	18306
30	19009	19259
30	19009	19259
117	19685	19935
117	19685	19935
114	20390	20641
114	20390	20641
140	21030	21278
140	21030	21278
93	21653	21903
93	21653	21903
238	298	547
238	298	547
246	915	1166
246	915	1166
233	1609	1859
233	1609	1859
230	2229	2479
230	2229	2479
237	2872	3121
237	2872	3121
230	3485	3734
230	3485	3734
195	4183	4431
195	4183	4431
155	4849	5099
155	4849	5099
0	5456	5706
0	5456	5706
212	6647	6897
212	6647	6897
146	7267	7518
146	7267	7518
186	7920	8169
186	7920	8169
37	8615	8869
37	8615	8869
81	9277	9526
81	9277	9526
229	10745	10993
229	10745	10993
232	11364	11613
232	11364	11613
196	12133	12384
196	12133	12384
145	12786	13034
145	12786	13034
237	13430	13681
237	13430	13681
0	14093	14343
0	14093	14343
233	15963	16215
233	15963	16215
105	16667	16782
105	16667	16782
94	17194	17446
94	17194	17446
0	18099	18354
0	18099	18354
130	19093	19342
130	19093	19342
137	19711	19960
137	19711	19960
213	20326	20575
213	20326	20575
50	20942	21192
50	20942	21192
51	21556	21805
51	21556	21805
0	22243	22493
0	22243	22493
237	542	793
237	542	793
214	1184	1434
214	1184	1434
232	1833	2083
232	1833	2083
237	2473	2724
237	2473	2724
223	3124	3373
223	3124	3373
229	3764	4012
229	3764	4012
220	4423	4673
220	4423	4673
228	5042	5294
228	5042	5294
227	5678	5929
227	5678	5929
228	6343	6595
228	6343	6595
224	6975	7223
224	6975	7223
225	7613	7864
225	7613	7864
234	8242	8491
234	8242	8491
226	8877	9126
226	8877	9126
237	9528	9778
237	9528	9778
217	10140	10390
217	10140	10390
216	10766	11014
216	10766	11014
214	11382	11632
214	11382	11632
138	12206	12392
138	12206	12392
205	12792	13042
205	12792	13042
223	13414	13662
223	13414	13662
227	14022	14271
227	14022	14271
233	14723	14975
233	14723	14975
217	15372	15621
217	15372	15621
225	16017	16267
225	16017	16267
219	16633	16883
219	16633	16883
200	17250	17501
200	17250	17501
77	17874	18123
77	17874	18123
0	18529	18778
0	18529	18778
96	19400	19650
96	19400	19650
160	341	592
160	341	592
139	1024	1273
139	1024	1273
232	1773	2023
232	1773	2023
226	2402	2650
226	2402	2650
239	3046	3296
239	3046	3296
213	3627	3883
213	3627	3883
207	4314	4564
207	4314	4564
246	4912	5162
246	4912	5162
164	5639	5833
164	5639	5833
227	6209	6464
227	6209	6464
226	6830	7079
226	6830	7079
227	7464	7714
227	7464	7714
198	8104	8354
198	8104	8354
239	8748	8997
239	8748	8997
195	9370	9620
195	9370	9620
238	10030	10280
238	10030	10280
190	10648	10897
190	10648	10897
229	11256	11505
229	11256	11505
152	11871	12121
152	11871	12121
219	12501	12750
219	12501	12750
231	13156	13405
